pl_hostname,pl_letter,pl_status,pl_rvamp,pl_orbper,pl_orbeccen,pl_orblper,pl_pnum,,,,,,
Kepler-40,b,3,179,6.87349,0,,1,,,,,,
Kepler-41,b,3,84,1.8555582,0,,1,,,,,,
Kepler-43,b,3,375,3.0240949,,,1,,,,,,
Kepler-44,b,3,125,3.2467293,0.066,,1,,,,,,
Kepler-45,b,3,110,2.455239,0.11,230,1,,,,,,
Kepler-47,b,3,,49.4643,0.021,48.6,3,,,,,,
Kepler-48,b,3,1.62,4.778,,,4,,,,,,
CoRoT-25,b,3,29,4.86069,0,,1,,,,,,
CoRoT-26,b,3,61,4.20474,0,,1,,,,,,
CoRoT-27,b,3,1326,3.57532,0.065,,1,,,,,,
CoRoT-28,b,3,56.4,5.20851,0.047,126,1,,,,,,
CoRoT-29,b,3,125,2.85057,0.082,87,1,,,,,,
GJ 86,b,3,376.7,15.76491,0.04,,1,,,,,,
HAT-P-19,b,3,42,4.008778,0.067,256,1,,,,,,
HAT-P-20,b,3,1246,2.875317,0.015,317,1,,,,,,
HAT-P-21,b,3,548.3,4.12448,0.23,,1,,,,,,
HAT-P-22,b,3,313.3,3.21222,0.02,,1,,,,,,
HAT-P-23,b,3,368.5,1.21288,0.11,,1,,,,,,
HAT-P-24,b,3,83,3.35524,0.07,,1,,,,,,
HAT-P-25,b,3,74.5,3.65281514,0.023,287,1,,,,,,
HAT-P-26,b,3,8.5,4.23452,0.12,,1,,,,,,
HAT-P-27,b,3,91.2,3.039577,0,0,1,,,,,,
HAT-P-28,b,3,84.7,3.257215,0.051,233,1,,,,,,
HAT-P-29,b,3,78.3,5.72319,0.09,,1,,,,,,
HAT-P-36,b,3,334.7,1.32734683,,,1,,,,,,
HAT-P-37,b,3,177.7,2.797436,0.058,164,1,,,,,,
HAT-P-38,b,3,35.4,4.640382,0.067,240,1,,,,,,
HAT-P-39,b,3,63.6,3.54387,0,,1,,,,,,
HAT-P-40,b,3,58.1,4.45724,0,,1,,,,,,
HAT-P-41,b,3,92.5,2.69405,0,,1,,,,,,
HAT-P-42,b,3,113.5,4.641878,0,,1,,,,,,
HAT-P-43,b,3,87.7,3.332687,0,,1,,,,,,
HAT-P-44,b,3,45.9,4.301219,0.044,113,2,,,,,,
HD 139357,b,3,161.2,1125.7,0.1,235.4,1,,,,,,
HD 137388,b,3,7.9,330,0.36,,1,,,,,,
HD 141937,b,3,234.5,653.21997,0.41,,1,,,,,,
HD 142245,b,3,24.8,1299,0,,1,,,,,,
HD 142415,b,3,51.3,386.29999,0.5,,1,,,,,,
HD 143361,b,3,73.89,1039.15,0.197,241.889,1,,,,,,
HD 145457,b,3,70.6,176.3,0.11,,1,,,,,,
HD 142022 A,b,3,92,1928,0.53,,1,,,,,,
HD 145377,b,3,242.7,103.95,0.31,,1,,,,,,
HD 145934,b,3,22.9,2730,0.053,215,1,,,,,,
HD 147018,b,3,145.33,44.236,0.4686,-24.03,2,,,,,,
HD 147513,b,3,29.3,528.4,0.26,282,1,,,,,,
HD 148156,b,3,17.5,1027,0.52,35,1,,,,,,
HD 148427,b,3,27.7,331.5,0.16,,1,,,,,,
HD 149026,b,3,43.3,2.87589,0,,1,,,,,,
HD 149143,b,3,150.3,4.07182,0.0167,217,1,,,,,,
HAT-P-30,b,3,88.1,2.8106,0.04,,1,,,,,,
HAT-P-31,b,3,232.5,5.00542,0.25,,1,,,,,,
HAT-P-32,b,3,99,2.1500082,0.159,50,1,,,,,,
HAT-P-33,b,3,82.7,3.47447,0,,1,,,,,,
HAT-P-34,b,3,343.1,5.45265,0.44,,1,,,,,,
HAT-P-35,b,3,120.7,3.64671,0.03,,1,,,,,,
HAT-P-45,b,3,106.6,3.128992,0.049,146,1,,,,,,
HAT-P-46,b,3,52.2,4.463129,0.123,70,1,,,,,,
HAT-P-49,b,3,188.7,2.69155,0,,1,,,,,,
HAT-P-54,b,3,132.6,3.799847,0.074,,1,,,,,,
HATS-1,b,3,254.1,3.446459,0.12,,1,,,,,,
HATS-2,b,3,268.9,1.354133,0,0,1,,,,,,
HATS-3,b,3,125.7,3.547851,0,,1,,,,,,
HATS-4,b,3,197.5,2.516729,0.013,275,1,,,,,,
HATS-5,b,3,30,4.763387,0.019,204,1,,,,,,
HATS-6,b,3,63,3.3252725,0,,1,,,,,,
HD 142,b,3,33.2,349.7,0.17,327,2,,,,,,
HD 564,b,3,8.79,492.3,0.096,314,1,,,,,,
HD 1461,b,3,2.28,5.77152,0.172,,2,,,,,,
HD 1502,b,3,57.5,428.5,0.031,126,1,,,,,,
HD 1605,b,3,18.97,577.2,0.095,216,2,,,,,,
HD 1666,b,3,199.4,270,0.63,294,1,,,,,,
HD 150706,b,3,31.1,5894,0.38,132,1,,,,,,
HD 152079,b,3,40.76,2918.92,0.532,332.905,1,,,,,,
HD 152581,b,3,36.2,686.5,0.04,181,1,,,,,,
HD 153950,b,3,69.2,499.39999,0.34,,1,,,,,,
HD 154345,b,3,14,3341.55884,0.04,,1,,,,,,
HD 154672,b,3,225,163.94,0.61,,1,,,,,,
HD 154857,b,3,48.3,408.60001,0.46,,2,,,,,,
HD 155358,b,3,32,194.3,0.17,,2,,,,,,
HD 156279,b,3,578,131.05,0.71,,2,,,,,,
HD 156411,b,3,14,842.2,0.22,45,1,,,,,,
HD 156668,b,3,1.89,4.6455,0,,1,,,,,,
HD 156846,b,3,464.3,359.51001,0.85,,1,,,,,,
HD 158038,b,3,33.9,521,0.29,,1,,,,,,
HD 159243,b,3,91.1,12.62,0.02,223,2,,,,,,
HD 1690,b,3,190,533,0.64,,1,,,,,,
HD 2039,b,3,153,1120,0.71,,1,,,,,,
HD 2638,b,3,67.4,3.4442,0,,1,,,,,,
HD 2952,b,3,26.3,311.60001,0.13,,1,,,,,,
HD 3651,b,3,16.6,62.25,0.645,243,1,,,,,,
HD 4113,b,3,97.1,526.62,0.903,-42.3,1,,,,,,
HD 4203,b,3,60.3,431.88,0.52,,2,,,,,,
HD 4208,b,3,19.03,832.97,0.042,217.634,1,,,,,,
