,K,logP,e,w,num_of_planets
0,303472.3506,5.787156747,-0.232263867,-14.05932666,1
1,29.03667039,6.308053802,0.173182271,-1448.230952,1
2,119.4919251,6.905409138,0.076306891,2.868324258,1
3,50.96987057,6.164652879,-0.034049343,-4.516014017,0
4,33.62696669,6.114899366,-0.185365605,-0.094277905,0
5,113.9501761,1.769150721,0.468722586,-21.37423289,0
6,272.7859897,5.814400021,0.289170511,5.348453806,1
7,118.7040633,6.174272096,-0.506925632,0.523011442,1
8,46.10292861,7.006461321,0.153651593,1699.295251,2
9,53.57414649,7.0037507,0.09692842,11.51357487,2
10,37.503778,6.825963901,0.206440011,1604.68099,2
11,49.54090262,7.010285999,0.068533562,-13.73842456,2
12,47.51387927,6.980774283,0.063460117,-1.074378293,2
13,50.75844541,6.982956914,-0.046113067,-16.30852642,2
14,55.87701818,1.442374691,0.012517314,-5.303058598,1
15,55.59844781,1.443188317,0.02025466,0.087695672,1
16,43.2821712,3.508422057,-0.847021889,207.3280797,1
17,15.2150127,4.130965037,-0.569463527,76.35572964,0
18,16.30201036,4.130315792,0.647658302,142.2931955,0
19,69.75246806,2.684522993,-0.159303144,98.33371001,2
20,71.64729723,2.684581409,0.031657031,-319.7841868,2
21,74.44600908,2.684440645,0.066047248,18.11941309,2
22,69.59995531,2.687032207,-0.018385198,5.054570862,2
23,46.64963521,3.453891721,-0.369975119,-67.60520869,2
24,36.20597012,6.801533551,0.135152385,-37.24022116,1
25,5.461708613,5.250956408,-0.327492504,-605.2214228,2
26,2.869116266,3.874761355,-0.15732982,-174.8305013,2
27,44.53743254,6.638857511,0.134185498,0.248939228,1
28,316.7911805,4.759502272,0.401875698,-50.29006333,1
29,314.1130843,4.759514995,0.397135722,-0.010408332,1
30,38.09238113,6.540318765,-0.116706457,-0.262133488,1
31,11.84476065,4.324619723,-0.246759054,-159.4116434,0
32,62.79860243,6.859056659,-0.20620592,25.04691436,1
33,5.767122381,3.697828724,0.448706801,189.2267581,0
34,40.22491994,5.941605231,-0.146502027,124.1933746,0
35,50.33625814,5.578170819,0.328640075,20.09839713,0
36,13.62813351,5.465644073,-0.208931404,-51.04281897,0
37,53.3713068,2.595314377,0.461200669,33.96854718,0
38,63.59891529,3.531745284,-0.754635917,86.36548598,0
39,147.5124599,6.307414858,-0.436708724,-31.63121491,0
40,44.75843631,6.391301805,0.011125446,-191.6457661,0
41,307.3070128,3.404989377,0.688180053,0.128469591,0
42,43.27351391,2.656220422,0.472518272,0.25047502,0
43,44.849165,6.370858108,-0.090878508,-8.638583975,0
44,35.73039553,6.502751033,-0.195534208,7.902792766,0
